Weekly Returns -- TLT
Window: 520 weeks  |  Price: Close
----------------------------------
Week Start              tlt_return
2020-09-07                  +1.07%
2020-09-14                  -0.55%
2020-09-21                  +0.95%
2020-09-28                  -1.44%
2020-10-05                  -1.63%
2020-10-12                  +0.81%
2020-10-19                  -2.09%
2020-10-26                  -0.28%
2020-11-02                  +1.17%
2020-11-09                  -0.78%
2020-11-16                  +2.12%
2020-11-23                  -0.80%
2020-11-30                  -3.13%
2020-12-07                  +2.30%
2020-12-14                  -1.54%
2020-12-21                  +0.61%
2020-12-28                  +0.28%
2021-01-04                  -4.06%
2021-01-11                  +0.33%
2021-01-18                  +0.04%
2021-01-25                  +0.08%
2021-02-01                  -2.61%
2021-02-08                  -0.62%
2021-02-15                  -2.61%
2021-02-22                  -0.10%
2021-03-01                  -2.94%
2021-03-08                  -2.05%
2021-03-15                  -0.96%
2021-03-22                  +1.42%
2021-03-29                  +0.62%
2021-04-05                  +0.00%
2021-04-12                  +1.27%
2021-04-19                  +0.57%
2021-04-26                  -1.01%
2021-05-03                  +0.43%
2021-05-10                  -1.54%
2021-05-17                  +0.43%
2021-05-24                  +0.56%
2021-05-31                  +1.05%
2021-06-07                  +1.72%
2021-06-14                  +2.40%
2021-06-21                  -2.55%
2021-06-28                  +2.13%
2021-07-05                  +1.03%
2021-07-12                  +1.15%
2021-07-19                  +0.20%
2021-07-26                  +0.69%
2021-08-02                  -1.16%
2021-08-09                  +0.52%
2021-08-16                  +1.35%
2021-08-23                  -0.72%
2021-08-30                  -0.86%
2021-09-06                  +0.15%
2021-09-13                  +0.52%
2021-09-20                  -1.52%
2021-09-27                  -1.06%
2021-10-04                  -2.39%
2021-10-11                  +2.22%
2021-10-18                  -0.62%
2021-10-25                  +2.47%
2021-11-01                  +1.09%
2021-11-08                  -1.32%
2021-11-15                  +0.70%
2021-11-22                  +1.46%
2021-11-29                  +2.54%
2021-12-06                  -3.56%
2021-12-13                  +1.32%
2021-12-20                  -1.53%
2021-12-27                  -0.22%
2022-01-03                  -4.00%
2022-01-10                  -0.11%
2022-01-17                  +1.08%
2022-01-24                  -0.35%
2022-01-31                  -2.88%
2022-02-07                  -0.55%
2022-02-14                  -0.01%
2022-02-21                  -0.98%
2022-02-28                  +2.46%
2022-03-07                  -3.80%
2022-03-14                  -1.09%
2022-03-21                  -3.58%
2022-03-28                  +2.89%
2022-04-04                  -5.48%
2022-04-11                  -3.49%
2022-04-18                  -0.63%
2022-04-25                  -0.45%
2022-05-02                  -4.84%
2022-05-09                  +2.03%
2022-05-16                  +2.18%
2022-05-23                  +0.48%
2022-05-30                  -2.56%
2022-06-06                  -1.95%
2022-06-13                  -1.49%
2022-06-20                  +0.43%
2022-06-27                  +2.90%
2022-07-04                  -2.87%
2022-07-11                  +3.24%
2022-07-18                  +2.08%
2022-07-25                  -0.94%
2022-08-01                  -0.82%
2022-08-08                  -0.79%
2022-08-15                  -2.17%
2022-08-22                  +0.51%
2022-08-29                  -2.99%
2022-09-05                  -1.73%
2022-09-12                  -1.14%
2022-09-19                  -1.28%
2022-09-26                  -3.07%
2022-10-03                  -1.43%
2022-10-10                  -2.40%
2022-10-17                  -5.48%
2022-10-24                  +3.90%
2022-10-31                  -2.67%
2022-11-07                  +3.90%
2022-11-14                  +1.79%
2022-11-21                  +3.27%
2022-11-28                  +4.07%
2022-12-05                  -0.71%
2022-12-12                  +0.73%
2022-12-19                  -4.62%
2022-12-26                  -2.55%
2023-01-02                  +5.64%
2023-01-09                  +1.49%
2023-01-16                  -0.52%
2023-01-23                  +0.48%
2023-01-30                  -0.01%
2023-02-06                  -3.10%
2023-02-13                  -0.98%
2023-02-20                  -1.38%
2023-02-27                  +0.91%
2023-03-06                  +3.63%
2023-03-13                  +1.19%
2023-03-20                  +0.00%
2023-03-27                  -0.45%
2023-04-03                  +2.03%
2023-04-10                  -3.18%
2023-04-17                  -0.65%
2023-04-24                  +1.97%
2023-05-01                  -1.47%
2023-05-08                  -0.59%
2023-05-15                  -3.04%
2023-05-22                  -0.01%
2023-05-29                  +0.89%
2023-06-05                  -0.07%
2023-06-12                  +0.67%
2023-06-19                  +0.71%
2023-06-26                  -0.38%
2023-07-03                  -3.75%
2023-07-10                  +2.23%
2023-07-17                  +0.43%
2023-07-24                  -1.89%
2023-07-31                  -3.29%
2023-08-07                  -1.20%
2023-08-14                  -1.68%
2023-08-21                  +1.55%
2023-08-28                  -0.39%
2023-09-04                  -0.51%
2023-09-11                  -1.49%
2023-09-18                  -1.65%
2023-09-25                  -3.00%
2023-10-02                  -4.40%
2023-10-09                  +3.33%
2023-10-16                  -4.99%
2023-10-23                  +1.36%
2023-10-30                  +3.86%
2023-11-06                  +0.41%
